word,beta,psi,highlight
strategies,-0.22096591879764327,2.9437985151207577,none
centerpiece,-2.498485712259533,0.7269831826114205,none
department,-0.7922043905148113,4.584566404199223,none
commitment,-0.48364782936876666,3.822871573195282,none
rebalance,-1.5458432457117894,3.3149147402287533,none
enhance,0.43318033838558584,4.585700642744308,none
alliances,-0.398274617583477,2.264109783561151,none
notes,-3.3750006936558,1.647483566361969,none
source,-0.08559974563733412,2.4418082211016463,none
documents,-0.7432082282809769,2.734976542148704,none
materials,1.1148627588538151,3.4613864845481754,none
hawaii,-1.2841770693057923,2.2388138376617834,none
guam,-1.5667018104012516,2.8350492482254426,none
deployment,-0.20817023759360662,4.8134135294108065,darkgreen
trend,-0.2126330872949682,2.3515281746898693,none
republic,0.7955913115318636,4.102309747871489,none
korea,1.2087747349434539,5.973758215845124,none
mv-22,-2.862169382731155,1.120041401677463,darkgreen
maintaining,0.18369798157750672,3.790195163220768,none
troops,0.6464675317814278,4.335213004598931,darkgreen
relocation,0.34814792473216827,4.311998253097734,none
iii,-0.6536723059730728,2.1662029706844907,none
marine,-0.10086197205856065,4.786982702367317,none
expeditionary,-1.668901956984395,1.8917016784101945,none
ground,-0.14788991911316096,4.430920522529589,none
south korea,1.6627780732651447,6.144693660865614,blue
additional,-0.3686497493799925,3.7950372969000243,none
two,0.4786973215520485,5.31857783820154,none
aegis,0.054880939596400974,2.85174745720927,none
bmd,-3.0568685286096167,1.32352566060596,none
taiwan,-1.6748648074148609,2.5295766795959884,blue
iwakuni,-2.9263508620256147,1.1876009054288006,none
plan,0.8456850436720035,5.007250416178979,none
currently,0.0816347501240801,3.4206912121533017,none
announced,-0.8862858422590987,4.052400104387313,none
september,1.0781930861417925,4.62932913683041,none
singapore,-0.062433360841696976,3.0308884831838707,none
rotational,-1.1584483305520077,2.1451972114654927,none
combat,0.7519619280465023,4.892495859029553,none
ships,-0.2347051132483137,3.699770948330028,none
submarines,0.38276117898285794,3.574686533639852,none
port,-1.395163046461747,1.6789421107849145,none
carrier,-1.1544617289294399,2.8134449016832788,darkgreen
june,0.47356708873607095,4.763988382727301,none
broad,-1.7348476178060168,1.9429024135259192,none
agreement,0.5222049619256398,4.625364434354771,none
bombers,0.46745073442499874,2.739704166541756,none
atlantic,-0.7727539804030781,1.8578720853824473,none
reached,0.3694842838169203,2.8096200845829573,none
facility,-0.4990487512342885,3.247779406873538,none
aircraft,-0.5665678641675864,5.584593689062602,darkgreen
april,0.3489493259129969,4.926343576426014,none
ship,0.07896452819068339,3.527985997244215,none
transfer,0.3194122353883438,3.827493133522417,none
coast,-0.764303616543453,2.9305625430912556,none
guard,0.6169336729441285,3.145468131114608,none
temporary,0.5404092416559304,2.5046034855009096,none
rotation,-0.6536723059730728,2.1662029706844907,none
august,0.5562545045364171,4.305226151795386,none
unmanned,-0.3702808022819776,2.9332998398861014,none
enhanced,0.8284417510784019,3.218872435643208,none
indonesia,0.4869962613655318,3.4205002748239193,blue
purpose,0.2574179516830928,3.177702229041429,none
enhancing,0.6428713703302318,3.9613643987726115,none
australia,-0.4510105565538659,4.204461353247205,none
november,0.5842235480051281,4.629105316552447,none
summit,0.7380231062570607,3.648446141397985,none
conference,0.5976147160294165,2.7271539553483697,none
initiatives,-0.8836478763112855,3.783509336903217,none
increased,1.0741742267904901,3.352719677263949,none
reference,-0.5269193626287121,3.0455916166785935,none
corps,0.3500183317584828,4.783227665499061,none
secretary,0.8181869454492582,4.68208266946989,none
hagel,0.1818493390576598,2.2491888169968886,none
deploy,-0.7688483109081911,3.0865607990702437,none
thailand,-0.1705361665976897,3.417930648482991,none
equipment,-0.09925588049703038,4.9761769184820714,none
document,-0.3806591806518171,3.4987583097391846,none
created,0.5238185533482581,2.7797832369477984,none
survey,-0.4279316161421791,2.2856582782579515,none
used,0.1995204597343533,3.7425741689949157,none
korean,1.7791087015493232,5.343753837084342,none
peninsula,1.2141037195842095,4.677982497678361,none
half,0.6825632437352174,2.297003401593048,none
million,-0.01914776112967556,3.646533911657882,none
across,-0.9002122258709299,3.1809098498344044,none
dmz,2.6942077368766912,2.1104432627649086,none
mass,-0.12513818682887493,3.450089407676248,none
destruction,-0.3463909064862008,3.400376319874592,none
developing,0.393710057023115,4.201194093463924,none
deterrent,-0.2179869463818965,2.6908942033957195,none
existing,0.7597413697655243,3.4164174538186,none
regime,1.018184588936119,2.909140923678978,none
develop,0.2610622324468456,4.463890762568398,none
weapon,0.8300276916766687,3.784188535582113,darkgreen
ballistic,-0.21607242922001937,4.207452877108223,darkgreen
missile,0.23577177449113598,5.356025164784034,darkgreen
small,0.6596130981265628,3.61691933228633,none
technological,-1.7610893418957625,2.977380266549948,none
capacity,-0.9743147935831776,3.3663096515159343,none
considering,1.1496150754525691,3.173681808762927,none
fact,-0.42568700263691445,1.999105473441568,none
kingdom,-0.5759009921871716,2.614070446915627,none
france,-0.3419918447849086,2.7799663686841787,blue
acquiring,1.8644566711879207,2.1522307484744263,none
technology,0.09285960619589034,5.02246727316335,none
early,0.055170755199995924,4.1046129194302194,none
conducted,-0.0013085770935853246,4.1728474251970695,none
test,1.293680921557722,3.6971647954593028,none
february,0.32523312905446916,4.800776367078628,none
acquired,1.1330760369029977,2.4198728285366267,none
warheads,-1.9485670437553966,2.108693962558205,darkgreen
enhancement,0.8775430832413573,3.3667801890439124,none
poses,-1.5353204153657298,1.7879234083138584,none
threat,-0.3180213858949904,4.310539835777108,none
