"","file_names","country_name","year","title","language"
"381","italy_2014_WhitePaperGuideline_noneng.pdf","italy","2014","White Paper Guideline","noneng"
"382","italy_2015_DefenseWhitepaper.pdf","italy","2015","Defense Whitepaper","eng"
"383","italy_2017_MinisteroDellaDifesa_noneng.pdf","italy","2017","Ministero Della Difesa","noneng"
"384","italy_2020_DirettivaGeneralePerLattivitaAmministrativaELaGestione_noneng.pdf","italy","2020","Direttiva Generale Per Lattivita Amministrativa E La Gestione","noneng"
"385","italy_2022_ChiefOfDefenceStrategicConcept.pdf","italy","2022","Chief Of Defence Strategic Concept","eng"
"386","italy_2022_IlConcettoStrategicoDelCapoDiStatoMaggioreDellaDifesa_noneng.pdf","italy","2022","Il Concetto Strategico Del Capo Di Stato Maggiore Della Difesa","noneng"
"387","jamaica_2006_NationalSecurityStrategy.pdf","jamaica","2006","National Security Strategy","eng"
"388","jamaica_2007_NationalSecurityPolicy.pdf","jamaica","2007","National Security Policy","eng"
"389","jamaica_2013_SecurityStrategy.pdf","jamaica","2013","Security Strategy","eng"
"390","japan_2004_DefenseOfJapan.pdf","japan","2004","Defense Of Japan","eng"
"391","japan_2005_DefenseOfJapan.pdf","japan","2005","Defense Of Japan","eng"
"392","japan_2006_DefenseOfJapan.pdf","japan","2006","Defense Of Japan","eng"
"393","japan_2007_DefenseOfJapan.pdf","japan","2007","Defense Of Japan","eng"
"394","japan_2008_DefenseOfJapan.pdf","japan","2008","Defense Of Japan","eng"
"395","japan_2009_DefenseOfJapan.pdf","japan","2009","Defense Of Japan","eng"
"396","japan_2010_DefenseOfJapan.pdf","japan","2010","Defense Of Japan","eng"
"397","japan_2011_NationalDefenseProgramGuidelines.pdf","japan","2011","National Defense Program Guidelines","eng"
"398","japan_2012_DefenseOfJapan.pdf","japan","2012","Defense Of Japan","eng"
"399","japan_2013_DefenseOfJapan.pdf","japan","2013","Defense Of Japan","eng"
"400","japan_2013_NationalSecurityStrategy.pdf","japan","2013","National Security Strategy","eng"
"401","japan_2014_DefenseOfJapan.pdf","japan","2014","Defense Of Japan","eng"
"402","japan_2015_DefenseOfJapan.pdf","japan","2015","Defense Of Japan","eng"
"403","japan_2016_DefenseOfJapan.pdf","japan","2016","Defense Of Japan","eng"
"404","japan_2017_DefenseOfJapan.pdf","japan","2017","Defense Of Japan","eng"
"405","japan_2018_CybersecurityStrategy.pdf","japan","2018","Cybersecurity Strategy","eng"
"406","japan_2018_DefenseOfJapan.pdf","japan","2018","Defense Of Japan","eng"
"407","japan_2019_DefenseOfJapan.pdf","japan","2019","Defense Of Japan","eng"
"408","japan_2019_NationalDefenseProgramGuidelines.pdf","japan","2019","National Defense Program Guidelines","eng"
"409","japan_2020_DefenseOfJapan.pdf","japan","2020","Defense Of Japan","eng"
"410","japan_2021_DefenseOfJapan.pdf","japan","2021","Defense Of Japan","eng"
"411","japan_2022_DefenseBuildupProgram.pdf","japan","2022","Defense Buildup Program","eng"
"412","japan_2022_DefenseOfJapan.pdf","japan","2022","Defense Of Japan","eng"
"413","japan_2022_NationalDefenseStrategy.pdf","japan","2022","National Defense Strategy","eng"
"414","japan_2022_NationalSecurityStrategyOfJapan.pdf","japan","2022","National Security Strategy Of Japan","eng"
"415","japan_2023_DefenseOfJapan.pdf","japan","2023","Defense Of Japan","eng"
"416","japan_2024_DefenseOfJapan.pdf","japan","2024","Defense Of Japan","eng"
"417","kenya_2017_WhitePaper.pdf","kenya","2017","White Paper","eng"
"418","kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.pdf","kyrgyzstan","2021","On The Conceptof National Security","noneng"
"419","latvia_1995_DefenseConcept.pdf","latvia","1995","Defense Concept","eng"
"420","latvia_1995_NationalDefenseConcept_noneng.pdf","latvia","1995","National Defense Concept","noneng"
"421","latvia_2002_NationalSecurityConcept_noneng.pdf","latvia","2002","National Security Concept","noneng"
"422","latvia_2003_NationalDefenceConcept.pdf","latvia","2003","National Defence Concept","eng"
"423","latvia_2003_StateDefencePolicy.pdf","latvia","2003","State Defence Policy","eng"
"424","latvia_2005_NationalSecurityConcept.pdf","latvia","2005","National Security Concept","eng"
